mrgid,geoname,sovereign,territory,pol_type,iso_sov1,area_km2
8444,United States Exclusive Economic Zone (American Samoa),United States,American Samoa,200NM,USA,405830
8379,British Exclusive Economic Zone (Ascension),United Kingdom,Ascension,200NM,GBR,446005
8446,New Zealand Exclusive Economic Zone (Cook Islands),New Zealand,Cook Islands,200NM,NZL,1969553
8389,Overlapping claim Falkland / Malvinas Islands: United Kingdom / Argentina,United Kingdom,Falkland / Malvinas Islands,Overlapping claim,GBR,550566
8440,French Exclusive Economic Zone (French Polynesia),France,French Polynesia,200NM,FRA,4766689
8439,British Exclusive Economic Zone (Pitcairn),United Kingdom,Pitcairn,200NM,GBR,842291
8380,British Exclusive Economic Zone (Saint Helena),United Kingdom,Saint Helena,200NM,GBR,449215
8445,Samoan Exclusive Economic Zone,Samoa,Samoa,200NM,WSM,130480
8448,Tongan Exclusive Economic Zone,Tonga,Tonga,200NM,TON,666052
8382,British Exclusive Economic Zone (Tristan da Cunha),United Kingdom,Tristan da Cunha,200NM,GBR,758168
8465,Chilean Exclusive Economic Zone,Chile,Chile,200NM,CHL,2488052
8447,New Zealand Exclusive Economic Zone (Niue),New Zealand,Niue,200NM,NZL,318140
48961,Joint regime area: Uruguay / Argentina,Uruguay,Uruguay,Joint regime,URY,41414
48962,Joint regime area: Peru / Ecuador,Peru,Peru,Joint regime,PER,16091
8467,Uruguayan Exclusive Economic Zone,Uruguay,Uruguay,200NM,URY,143092
8449,New Zealand Exclusive Economic Zone (Tokelau),New Zealand,Tokelau,200NM,NZL,320548
8432,Peruvian Exclusive Economic Zone,Peru,Peru,200NM,PER,854698
22756,Chilean Exclusive Economic Zone (Islas San Félix and San Ambrosio),Chile,Islas San Félix and San Ambrosio,200NM,CHL,450960
21787,Chilean Exclusive Economic Zone (Easter Island),Chile,Easter Island,200NM,CHL,729763
8381,Brazilian Exclusive Economic Zone (Trindade),Brazil,Trindade,200NM,BRA,472481
8450,Kiribati Exclusive Economic Zone (Phoenix Group),Kiribati,Phoenix Group,200NM,KIR,745782
8466,Argentinian Exclusive Economic Zone,Argentina,Argentina,200NM,ARG,1075192
8386,French Exclusive Economic Zone (Amsterdam and Saint Paul Islands),France,Amsterdam and Saint Paul Islands,200NM,FRA,512188
8309,Australian Exclusive Economic Zone (Christmas Island),Australia,Christmas Island,200NM,AUS,327994
8308,Australian Exclusive Economic Zone (Cocos Islands),Australia,Cocos Islands,200NM,AUS,467440
8334,Comoran Exclusive Economic Zone,Comores,Comores,200NM,COM,164476
8385,French Exclusive Economic Zone (Crozet Islands),France,Crozet Islands,200NM,FRA,575454
48944,Overlapping claim Mayotte: France / Comores,France,Mayotte,Overlapping claim,FRA,66738
48946,Overlapping claim Ile Tromelin: France / Madagascar / Republic of Mauritius,France,Ile Tromelin,Overlapping claim,FRA,274555
8388,Australian Exclusive Economic Zone (Heard and McDonald Islands),Australia,Heard and McDonald Islands,200NM,AUS,417321
8387,French Exclusive Economic Zone (Kerguélen),France,Kerguélen,200NM,FRA,550817
8348,Madagascan Exclusive Economic Zone,Madagascar,Madagascar,200NM,MDG,1196285
8396,South African Exclusive Economic Zone,South Africa,South Africa,200NM,ZAF,1072679
8312,French Exclusive Economic Zone (New Caledonia),France,New Caledonia,200NM,FRA,1175971
8310,Australian Exclusive Economic Zone (Norfolk Island),Australia,Norfolk Island,200NM,AUS,430600
8343,Mauritian Exclusive Economic Zone,Republic of Mauritius,Republic of Mauritius,200NM,MUS,1278182
8338,French Exclusive Economic Zone (Réunion),France,Réunion,200NM,FRA,315151
8313,Vanuatuan Exclusive Economic Zone,Vanuatu,Vanuatu,200NM,VUT,625850
8395,Namibian Exclusive Economic Zone,Namibia,Namibia,200NM,NAM,562212
21791,Timorese Exclusive Economic Zone (Oecusse),East Timor,Oecusse,200NM,TLS,1826
8394,Congolese (Republic of) Exclusive Economic Zone,Republic of the Congo,Republic of the Congo,200NM,COG,33807
