Eunicea claigera,Octocorallia (Soft Corals),Western Atlantic,,,
Eugorgia siedenburgae,Octocorallia (Soft Corals),,,,
Borikenella spinosa,Crustacea,,,,
Liropus gurui,Crustacea,,,,
Archeolourinia shermani,Crustacea,,,,
Cumella solomoni,Crustacea,,,,
Cumella manolelii,Crustacea,,,,
Cumella gurui,Crustacea,,,,
Cumella pagani,Crustacea,,,,
Cumella achimae,Crustacea,,,,
Cumella victoriae,Crustacea,,,,
Nannastacus craciuni,Crustacea,,,,
Longipedia gonzalezi,Crustacea,,,,
Cumella alexandrinae,Crustacea,,,,
Cumellana caribbica,Crustacea,,,,
Ginglymostoma cirratum,Fishes,Western Atlantic; Eastern Atlantic; Eastern Pacific,Ginglymostoma-cirratum,,
Carcharhinus perezii,Fishes,Western Atlantic,Carcharhinus-perezii,,
Carcharhinus limbatus,Fishes,Circumglobal,Carcharhinus-limbatus,,
Sphyrna mokarran,Fishes,Circumglobal,Sphyrna-mokarran,,
Dasyatis americana,Fishes,Western Atlantic,Dasyatis-americana,,
Gymnothorax funebris,Fishes,Western Atlantic; Eastern Atlantic; Eastern Pacific,Gymnothorax-funebris,,
Synodus intermedius,Fishes,Western Atlantic,Synodus-intermedius,,
Synodus synodus,Fishes,Western Atlantic; Eastern Atlantic; Northwest Atlantic,Synodus-synodus,,
Holocentrus adscensionis,Fishes,Western Atlantic; Eastern Atlantic,Holocentrus-adscensionis,,
Holocentrus marianus,Fishes,Western Atlantic,Holocentrus-marianus,,
Holocentrus rufus,Fishes,Western Atlantic,Holocentrus-rufus,,
Myripristis jacobus,Fishes,Western Atlantic; Eastern Atlantic,Myripristis-jacobus,,
Sargocentron bullisi,Fishes,Western Atlantic,Sargocentron-bullisi,,
Cephalopholis cruentatus,Fishes,Western Atlantic,Cephalopholis-cruentatus,,
Cephalopholis fulva,Fishes,Western Atlantic,Cephalopholis-fulva,,
Epinephelus guttatus,Fishes,Western Atlantic,Epinephelus-guttatus,,
Epinephelus morio,Fishes,Western Atlantic,Epinephelus-morio,,
Holanthias martinicensis,Fishes,Western Atlantic,Holanthias-martinicensis,,
Hypoplectrus puella,Fishes,Western Atlantic,Hypoplectrus-puella,,
Liopropoma eukrines,Fishes,Western Atlantic,Liopropoma-eukrines,,
Liopropoma mowbrayi,Fishes,Western Atlantic,Liopropoma-mowbrayi,,
Mycteroperca bonaci,Fishes,Western Atlantic,Mycteroperca-bonaci,,
Mycteroperca phenax,Fishes,Western Atlantic,Mycteroperca-phenax,,
Mycteroperca tigris,Fishes,Western Atlantic,Mycteroperca-tigris,,
Serranus annularis,Fishes,Western Atlantic,Serranus-annularis,,
Serranus baldwini,Fishes,Western Atlantic,Serranus-baldwini,,
Serranus luciopercanus,Fishes,Western Atlantic,Serranus-luciopercanus,,
Serranus tabacarius,Fishes,Western Atlantic,Serranus-tabacarius,,
Serranus tortugarum,Fishes,Western Atlantic,Serranus-tortugarum,,
Serranus phoebe,Fishes,Western Atlantic,Serranus-phoebe,,
Schultzea beta,Fishes,Western Atlantic,Schultzea-beta,,
Gramma loreto,Fishes,Western Atlantic,Gramma-loreto,,
Gramma linki,Fishes,Western Atlantic,Gramma-linki,,
Gramma melacara,Fishes,Western Atlantic,Gramma-melacara,,
Lipogramma klayi,Fishes,Western Atlantic,Lipogramma-klayi,,
Opistognathus aurifrons,Fishes,Western Atlantic,Opistognathus-aurifrons,,
Apogon americanus,Fishes,Western Atlantic; Eastern Central Atlantic,Apogon-americanus,,
Apogon pseudomaculatus,Fishes,Western Atlantic,Apogon-pseudomaculatus,,
Malacanthus plumieri,Fishes,Western Atlantic; Southeast Atlantic,Malacanthus-plumieri,,
Carangoides bartholomaei,Fishes,Western Atlantic; Eastern Central Atlantic,Carangoides-bartholomaei,,
Caranx crysos,Fishes,Western Atlantic; Eastern Atlantic; Eastern Central Atlantic,Caranx-crysos,,
Caranx latus,Fishes,Western Atlantic; Eastern Atlantic,Caranx-latus,,
Caranx lugubris,Fishes,Circumtropical,Caranx-lugubris,,
Decapterus macarellus,Fishes,Circumglobal,Decapterus-macarellus,,
Decapterus tabl,Fishes,Circumglobal,Decapterus-tabl,,
Elagatis bipinnulata,Fishes,Circumtropical,Elagatis-bipinnulata,,
Lutjanus analis,Fishes,Western Atlantic,Lutjanus-analis,,
Lutjanus apodus,Fishes,Western Atlantic; Eastern Atlantic,Lutjanus-apodus,,
Lutjanus buccanella,Fishes,Western Atlantic,Lutjanus-buccanella,,
Lutjanus campechanus,Fishes,Western Atlantic,Lutjanus-campechanus,,
Lutjanus jocu,Fishes,Western Atlantic; Eastern Atlantic,Lutjanus-jocu,,
Lutjanus vivanus,Fishes,Western Atlantic,Lutjanus-vivanus,,
Ocyurus chrysurus,Fishes,Western Atlantic,Ocyurus-chrysurus,,
Rhomboplites aurorubens,Fishes,Western Atlantic,Rhomboplites-aurorubens,,
Anisotremus surinamensis,Fishes,Western Atlantic,Anisotremus-surinamensis,,
Haemulon aurolineatum,Fishes,Western Atlantic,Haemulon-aurolineatum,,
Haemulon parra,Fishes,Western Atlantic,Haemulon-parra,,
Haemulon plumieri,Fishes,Western Atlantic,Haemulon-plumieri,,
Haemulon striatum,Fishes,Western Atlantic,Haemulon-striatum,,
Calamus pennatula,Fishes,Western Atlantic,Calamus-pennatula,,
Pseudupeneus maculatus,Fishes,Western Atlantic,Pseudupeneus-maculatus,,
Chaetodon aculeatus,Fishes,Western Atlantic,Chaetodon-aculeatus,,
Chaetodon aya,Fishes,Western Atlantic,Chaetodon-aya,,
Chaetodon guyanensis,Fishes,Western Atlantic,Chaetodon-guyanensis,,
Chaetodon ocellatus,Fishes,Western Atlantic,Chaetodon-ocellatus,,
Chaetodon sedentarius,Fishes,Western Atlantic,Chaetodon-sedentarius,,
Centropyge argi,Fishes,Western Atlantic,Centropyge-argi,,
Centropyge aurantonotus,Fishes,Western Atlantic,Centropyge-aurantonotus,,
Holacanthus tricolor,Fishes,Western Atlantic,Holacanthus-tricolor,,
Holacanthus ciliaris,Fishes,Western Atlantic; Eastern Atlantic,Holacanthus-ciliaris,,
Pomacanthus paru,Fishes,Western Atlantic; Eastern Atlantic,Pomacanthus-paru,,
Amblycirrhitus pinos,Fishes,Western Atlantic; Eastern Atlantic,Amblycirrhitus-pinos,,
Chromis cyanea,Fishes,Western Atlantic,Chromis-cyanea,,
Chromis enchrysurus,Fishes,Western Atlantic; Eastern Atlantic,Chromis-enchrysurus,,
Chromis insolata,Fishes,Western Atlantic,Chromis-insolata,,
Chromis scotti,Fishes,Western Atlantic,Chromis-scotti,,
Stegastes partitus,Fishes,Western Atlantic,Stegastes-partitus,,
Stegastes pictus,Fishes,Western Atlantic,Stegastes-pictus,,
Bodianus rufus,Fishes,Western Atlantic,Bodianus-rufus,,
Bodianus pulchellus,Fishes,Western Atlantic,Bodianus-pulchellus,,
Clepticus parrae,Fishes,Western Atlantic,Clepticus-parrae,,
Halichoeres dimidiatus,Fishes,Western Atlantic,Halichoeres-dimidiatus,,
Lachnolaimus maximus,Fishes,Western Atlantic,Lachnolaimus-maximus,,
Thalassoma bifasciatum,Fishes,Western Atlantic,Thalassoma-bifasciatum,,
Thalassoma noronhanum,Fishes,Western Atlantic,Thalassoma-noronhanum,,
Sparisoma atomarium,Fishes,Western Atlantic,Sparisoma-atomarium,,
Sparisoma frondosum,Fishes,Western Atlantic,Sparisoma-frondosum,,
Coryphopterus lipernes,Fishes,Western Atlantic,Coryphopterus-lipernes,,
Coryphopterus thrix,Fishes,Western Atlantic,Coryphopterus-thrix,,
Elacatinus figaro,Fishes,Western Atlantic,Elacatinus-figaro,,
Risor ruber,Fishes,Western Atlantic,Risor-ruber,,
Ptereleotris randalli,Fishes,Western Atlantic,Ptereleotris-randalli,,
Acanthurus chirurgus,Fishes,Western Atlantic,Acanthurus-chirurgus,,
Acanthurus coeruleus,Fishes,Western Atlantic,Acanthurus-coeruleus,,
Sphyraena barracuda,Fishes,Circumglobal,Sphyraena-barracuda,,
Balistes vetula,Fishes,Western Atlantic; Eastern Atlantic,Balistes-vetula,,
Canthidermis sufflamen,Fishes,Western Atlantic; Eastern Atlantic,Canthidermis-sufflamen,,
Melichthys niger,Fishes,Circumtropical,Melichthys-niger,,
Xanthichthys ringens,Fishes,Western Atlantic,Xanthichthys-ringens,,
Canthigaster rostrata,Fishes,Western Atlantic,Canthigaster-rostrata,,
Centropyge nahackyi,Fishes,Easter Central Pacific,Centropyge-nahackyi,,
Chromis abyssus,Fishes,Western Pacific,Chromis-abyssus,,
Chromis brevirostris,Fishes,Western Pacific,Chromis-brevirostris,,
Chromis circumaurea,Fishes,Western Pacific,Chromis-circumaurea,,
Chromis degruyi,Fishes,Western Pacific,Chromis-degruyi,,
Chromis earina,Fishes,Western Pacific,Chromis-earina,,
Coryphopterus curasub,Fishes,,,,
Luzonichthys seaver,Fishes,,,,
Derilissus lombardii,Fishes,Western Atlantic,,,
Pinnichthys aimoriensis,Fishes,,,,
Pinnichthys saurimimica,Fishes,,,,
Psilotris laetarii,Fishes,,,,
Psilotris laurae,Fishes,,,,
Varicus adamsi,Fishes,,,,
Varicus cephalocellatus,Fishes,,,,
Varicus decorum,Fishes,,,,
Varicus nigritus,Fishes,,,,
Varicus veliguttatus,Fishes,,,,
Varicus lacerta,Fishes,Western Atlantic,,,
Peyssonnelia incomposita,"Algae (Macro, Turf and Crustose Coralline)",,,,
Umbraulva kuaweuweu,"Algae (Macro, Turf and Crustose Coralline)",,,,
Umbraulva kaloakulau,"Algae (Macro, Turf and Crustose Coralline)",,,,
Ulva ohiohilulu,"Algae (Macro, Turf and Crustose Coralline)",,,,
Ulva iliohaha,"Algae (Macro, Turf and Crustose Coralline)",,,,
Verdigellas fimbriata,"Algae (Macro, Turf and Crustose Coralline)",,,,
Botryocladia bahamense,"Algae (Macro, Turf and Crustose Coralline)",,,,
Verdigellas nektongammea,"Algae (Macro, Turf and Crustose Coralline)",,,,
Litarachna lopezae,Other invertebrates,,,,
Agaricia fragilis,Scleractinia (Hard Corals),Western Atlantic,,562,202
Agaricia grahamae,Scleractinia (Hard Corals),Western Atlantic,,906,203
Agaricia lamarcki,Scleractinia (Hard Corals),Western Atlantic,,564,205
Agaricia undata,Scleractinia (Hard Corals),Western Atlantic,,905,207
Dichocoenia stokesi,Scleractinia (Hard Corals),Western Atlantic,,572,585
Leptoseris cailleti,Scleractinia (Hard Corals),Western Atlantic,,688,902
Leptoseris cucullata,Scleractinia (Hard Corals),Western Atlantic,,584,903
Madracis brueggemanni,Scleractinia (Hard Corals),Western Atlantic,,,941
Madracis decactis,Scleractinia (Hard Corals),Western Atlantic,,887,943
Madracis formosa,Scleractinia (Hard Corals),Western Atlantic,,718,944
Madracis mirabilis,Scleractinia (Hard Corals),Western Atlantic,,682,949
Madracis myriaster,Scleractinia (Hard Corals),Western Atlantic,,,950
Madracis pharensis,Scleractinia (Hard Corals),Western Atlantic,,833,951
Madracis senaria,Scleractinia (Hard Corals),Western Atlantic,,610,953
Montastraea annularis,Scleractinia (Hard Corals),Western Atlantic,,588,
Montastraea cavernosa,Scleractinia (Hard Corals),Western Atlantic,,589,975
Mycetophyllia aliciae,Scleractinia (Hard Corals),Western Atlantic,,594,1076
Mycetophyllia reesi,Scleractinia (Hard Corals),Western Atlantic,,684,1080
Oculina varicosa,Scleractinia (Hard Corals),Western Atlantic,,701,1095
Porites astreoides,Scleractinia (Hard Corals),Western Atlantic,,701,1269
Porites divaricata,Scleractinia (Hard Corals),Western Atlantic,,603,1286
Alveopora verrilliana,Scleractinia (Hard Corals),Indo-Pacific,,88,221
Echinophyllia aspera,Scleractinia (Hard Corals),Indo-Pacific,,136,594
Favia speciosa,Scleractinia (Hard Corals),Indo-Pacific,,158,
Goniopora muscosa,Scleractinia (Hard Corals),Indo-Pacific,,,
Leptoseris explanata,Scleractinia (Hard Corals),Indo-Pacific,,225,904
Leptoseris fragilis,Scleractinia (Hard Corals),Indo-Pacific,,,1576
Leptoseris hawaiiensis,Scleractinia (Hard Corals),Indo-Pacific,,227,907
Leptoseris mycetoseroides,Scleractinia (Hard Corals),Indo-Pacific,,228,909
Leptoseris papyracea,Scleractinia (Hard Corals),Indo-Pacific,,229,910
Leptoseris porosa,Scleractinia (Hard Corals),Indo-Pacific,,,
Leptoseris scabra,Scleractinia (Hard Corals),Indo-Pacific,,230,911
Leptoseris solida,Scleractinia (Hard Corals),Indo-Pacific,,413,912
Leptoseris yabei,Scleractinia (Hard Corals),Indo-Pacific,,232,916
Mycedium elephantotus,Scleractinia (Hard Corals),Indo-Pacific,,282,1070
Oxypora lacera,Scleractinia (Hard Corals),Indo-Pacific,,285,1109
Pachyseris speciosa,Scleractinia (Hard Corals),Indo-Pacific,,287,1118
Porites eydouxi,Scleractinia (Hard Corals),Indo-Pacific,,,
Porites lobata,Scleractinia (Hard Corals),Indo-Pacific,,319,1303
Stylophora kuehlmanni,Scleractinia (Hard Corals),Indo-Pacific,,793,1437
Madracis carmabi,Scleractinia (Hard Corals),,,,
Aphanipathes verticillata mauiensis,Antipatharia (Black Corals),,,,
Pontarachna nemethi,Other invertebrates,,,,
