id,validated,included_in_stats,publication_type,publication_format,publication_year,authors,title,journal_name,volume,issue,pages,doi,url,book_title,book_authors,book_publisher,pdf_present,mesophotic,mce,tme,original_data,new_species,min_depth,max_depth,fields,focusgroups,platforms,locations
1,TRUE,TRUE,scientific,article,1991,"Kosaki RK, Pyle RL, Randall JE, Irons DK","New records of fishes from Johnston Atoll, with notes on biogeography",Pac Sci,45,2,186-203,,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,5,75,Biodiversity,Fishes,SCUBA (open-circuit or unspecified),USA - Johnston Atoll
2,TRUE,TRUE,scientific,article,2014,"Englebert N, Bongaerts P, Muir P, Hay KB, Hoegh-Guldberg O",Deepest zooxanthellate corals of the Great Barrier Reef and Coral Sea,Marine Biodiversity,45,,2-Jan,10.1007/s12526-014-0221-8,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,80,125,Molecular ecology; Biodiversity; Connectivity,Scleractinia (Hard Corals),Remotely Operated Vehicle (ROV),Australia - Great Barrier Reef; Australia - Coral Sea
3,TRUE,TRUE,scientific,article,2012,"Foster R, Bridge TCL, Bongaerts P",The first record of Hippocampus denise (Syngnathidae) from Australia,Aqua Int J Ichthyol,18,1,55-57,,https://aqua-aquapress.com/the-first-record-of-hippocampus-denise-syngnathidae-from-australia/,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,30,100,Biodiversity; Management and Conservation,Fishes,Remotely Operated Vehicle (ROV),Australia - Great Barrier Reef
4,TRUE,TRUE,scientific,article,2011,"Lesser MP, Slattery M",Phase shift to algal dominated communities at mesophotic depths associated with lionfish (Pterois volitans) invasion on a Bahamian coral reef,Biol Invasions,13,,1855-1868,10.1007/s10530-011-0005-z,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,30,91,Ecology; Community structure; Disturbances,Overall benthic (groups); Fishes,Rebreather; SCUBA (open-circuit or unspecified); SCUBA (open-circuit or unspecified),Bahamas
5,TRUE,TRUE,scientific,article,2009,"Chan YL, Pochon X, Fisher MA, Wagner D, Concepcion GT, Kahng SE, Toonen RJ, Gates RD",Generalist dinoflagellate endosymbionts and host genotype diversity detected from mesophotic (67-100 m depths) coral Leptoseris,BMC Ecol,9,21,,10.1186/1472-6785-9-21,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,67,100,Molecular ecology; Biodiversity; Community structure,Scleractinia (Hard Corals); Symbiodinium (zooxanthellae),Manned Submersible,USA - Hawaii
6,TRUE,TRUE,scientific,article,2013,"Bongaerts P, Frade PR, Ogier JJ, Hay KB, van Bleijswijk J, Englebert N, Vermeij MJA, Bak RPM, Visser PM, Hoegh-Guldberg O",Sharing the slope: depth partitioning of agariciid corals and associated Symbiodinium across shallow and mesophotic habitats (2-60 m) on a Caribbean reef,BMC Evol Biol,13,205,,10.1186/1471-2148-13-205,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,2,60,Molecular ecology; Community structure; Connectivity,Scleractinia (Hard Corals); Symbiodinium (zooxanthellae),SCUBA (open-circuit or unspecified),Curaçao
7,TRUE,TRUE,scientific,article,2011,"Bongaerts P, Riginos C, Hay KB, van Oppen MJH, Hoegh-Guldberg O, Dove S",Adaptive divergence in a scleractinian coral: physiological adaptation of Seriatopora hystrix to shallow and deep reef habitats,BMC Evol Biol,11,303,,10.1186/1471-2148-11-303,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,2,30,Molecular ecology; Physiology; Connectivity,Scleractinia (Hard Corals); Symbiodinium (zooxanthellae),SCUBA (open-circuit or unspecified),Australia - Great Barrier Reef
8,TRUE,TRUE,scientific,article,1986,"Colin PL, Devaney DM, Hillis-Colinvaux L, Suchanek TH, Harrison JT III","Geology and biological zonation of the reef slope, 50-360 m depth at Enewetak Atoll, Marshall Islands",Bull Mar Sci,38,1,111-128,,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,5,365,Geomorphology; Biodiversity; Community structure,Overall benthic (groups),Manned Submersible,Micronesia - Marshall Islands
9,TRUE,TRUE,scientific,article,1995,"Bak RPM, Nieuwland G",Long-term change in coral communities along depth gradients over Leeward Reefs in the Netherlands Antilles,Bull Mar Sci,56,2,609-619,,http://www.ingentaconnect.com/content/umrsmas/bullmar/1995/00000056/00000002/art00017,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,10,40,Community structure; Long-term monitoring,Scleractinia (Hard Corals),SCUBA (open-circuit or unspecified),Curaçao; Bonaire
10,TRUE,TRUE,scientific,article,2003,"Vermeij MJA, Diekmann OE, Bak RPM","A new species of scleractinian coral (Cnidaria, Anthozoa), Madracis carmabi N. Sp. from the Caribbean",Bull Mar Sci,73,3,679-684,,https://www.ingentaconnect.com/contentone/umrsmas/bullmar/2003/00000073/00000003/art00011,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,15,45,Biodiversity; Evolution; Taxonomy,Scleractinia (Hard Corals),SCUBA (open-circuit or unspecified),Curaçao
